id,data,origem,descricao,celulas,grupos,onda_alvo,status,resolvida_em
base#q1,2026-09-11,validacao,5 linhas duplicadas exatas herdadas do TodosJuntos (mantidas; decidir se removem).,1987:7141;2002:24051;2002:29097;2002:49056;2008:19503,,,aberta,
base#q2,2026-09-11,validacao,203 grupos (alimentos) têm nome = lista de membros concatenada na FINAL; precisam de rótulo curto (onda global de nomes).,,,,aberta,
base#q3,2026-09-11,Melhorias,30034 | FRALDA GERIATRICA | 35004 | Produtos_de_uso_pessoal | Na hierarquia está como produto de saude mas está entre os produtos de uso pessoal na lista e no zoom,,,,aberta,
base#q4,2026-09-11,Melhorias,30034 | ABSORVENTE GERIATRICO | 35004 | Produtos_de_uso_pessoal,,,,aberta,
base#q5,2026-09-11,Melhorias,29001 | PARA DOR E FEBRE (ANALGESICO E ANTITERMICO),,,,aberta,
base#q6,2026-09-11,Melhorias,"6 linha(s) da planilha de melhorias: 2017 | 42 | Quadro 42 Serviços de assistência à saúde no período de referência de 90 Dias; | 42 | 4202601 | 42026 | 42026 | SERVICOS DE CIRURGIA, ANESTESIA E PARTO | 36010 | Outras_assistencia_saude | 36005 | Tratamento_ambulatorial | deveriam ser  36006 - serviços cirurgia || 2017 | 42 | Quadro 42 Serviços de assistência à saúde no período de referência de 90 Dias; | 42 | 4202602 | 42026 | 42026 | CIRURGIA | 36010 | Outras_assistencia_saude | 36005 | Tratamento_ambulatorial || 2017 | 42 | Quadro 42 Serviços de assistência à saúde no período de referência de 90 Dias; | 42 | 4202603 | 42026 | 42026 | ANESTESIA | 36010 | Outras_assistencia_saude | 36005 | Tratamento_ambulatorial || 2017 | 42 | Quadro 42 Serviços de assistência à saúde no período de referência de 90 Dias; | 42 | 4202604 | 42026 | 42026 | OBSTETRICIA | 36010 | Outras_assistencia_saude | 36005 | Tratamento_ambulatorial || 2017 | 42 | Quadro 42 Serviços de assistência à saúde no período de referência de 90 Dias; | 42 | 4202605 | 42026 | 42026 | PROCEDIMENTO CIRURGICO | 36010 | Outras_assistencia_saude | 36005 | Tratamento_ambulatorial || 2017 | 42 | Quadro 42 Serviços de assistência à saúde no período de referência de 90 Dias; | 42 | 4202606 | 42026 | 42026 | INSTRUMENTADOR CIRURGICO | 36010 | Outras_assistencia_saude | 36005 | Tratamento_ambulatorial",2017:42026,,,aberta,
form#6cb80bc5,2026-09-11,Form,Form 10/07/2026 23:45:24: CRIAR | nome 'Ervilha em grão' | N1 '1. Cereais e leguminosas' N2 '1.2 Leguminosas' | 5 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1987:6311;1995:6311;2002:63011;2008:63011;2017:63011,,,aberta,
form#aa83c80f,2026-09-11,Form,Form 11/07/2026 04:12:50: MOVER | → 32005 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1995:903,32005,,aberta,
form#50f9116d,2026-09-11,Form,"Form 11/07/2026 04:25:57: FUNDIR | → 31003 | 9 células | comentário do revisor: ""começam a ter produtos combinados que impedem essa divisao"" | já aplicada no master do Drive (não na v2026 local) | células inexistentes no de-para: ['2008:6008', '2008:6009', '2008:6013']",1995:715;2002:28055;2008:6008;2008:6009;2008:6013;2017:6008;2017:6009;2017:6013;2017:6016,31003,,aberta,
form#48573d17,2026-09-11,Form,Form 11/07/2026 04:29:41: MOVER | → 31006 | 2 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1987:706;1995:706,31006,,aberta,
form#0574d67e,2026-09-11,Form,Form 11/07/2026 04:58:15: MOVER | → 32005 | 5 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1995:900;1995:906;1995:907;1995:908;1995:910,32005,,aberta,
